metric,tag,iteration,raw_value,smoothed_value
train_mean_reward,Train/mean_reward,235.0,77.20695495605469,75.46480754613205
train_mean_reward,Train/mean_reward,236.0,78.05644226074219,75.98313448905408
train_mean_reward,Train/mean_reward,237.0,78.5263900756836,76.49178560637998
train_mean_reward,Train/mean_reward,238.0,78.5263900756836,76.8987065002407
train_mean_reward,Train/mean_reward,239.0,78.5263900756836,77.22424321532928
train_mean_reward,Train/mean_reward,240.0,78.80445861816406,77.54028629589624
train_mean_reward,Train/mean_reward,241.0,80.09860229492188,78.05194949570136
train_mean_reward,Train/mean_reward,242.0,81.37730407714844,78.71702041199077
train_mean_reward,Train/mean_reward,243.0,81.37730407714844,79.24907714502231
train_mean_reward,Train/mean_reward,244.0,81.37730407714844,79.67472253144754
train_mean_reward,Train/mean_reward,245.0,81.65036010742188,80.06985004664242
train_mean_reward,Train/mean_reward,246.0,80.98588562011719,80.25305716133738
train_mean_reward,Train/mean_reward,247.0,80.98588562011719,80.39962285309335
train_mean_reward,Train/mean_reward,248.0,81.57158660888672,80.63401560425201
train_mean_reward,Train/mean_reward,249.0,81.57158660888672,80.82152980517895
train_mean_reward,Train/mean_reward,250.0,81.95092010498047,81.04740786513925
train_mean_reward,Train/mean_reward,251.0,81.95092010498047,81.22811031310749
train_mean_reward,Train/mean_reward,252.0,82.3166732788086,81.44582290624771
train_mean_reward,Train/mean_reward,253.0,82.64911651611328,81.68648162822083
train_mean_reward,Train/mean_reward,254.0,82.64911651611328,81.87900860579933
train_mean_reward,Train/mean_reward,255.0,82.7757568359375,82.05835825182696
train_mean_reward,Train/mean_reward,256.0,82.66426849365234,82.17954030019203
train_mean_reward,Train/mean_reward,257.0,82.66426849365234,82.2764859388841
train_mean_reward,Train/mean_reward,258.0,82.65184783935547,82.35155831897836
train_mean_reward,Train/mean_reward,259.0,82.9400405883789,82.46925477285848
train_mean_reward,Train/mean_reward,260.0,82.9400405883789,82.56341193596256
train_mean_reward,Train/mean_reward,261.0,82.9400405883789,82.63873766644582
train_mean_reward,Train/mean_reward,262.0,83.15290069580078,82.7415702723168
train_mean_reward,Train/mean_reward,263.0,82.44279479980469,82.68181517781437
train_mean_reward,Train/mean_reward,264.0,80.9449691772461,82.33444597770071
train_mean_reward,Train/mean_reward,265.0,79.9325942993164,81.85407564202386
train_mean_reward,Train/mean_reward,266.0,79.9325942993164,81.46977937348237
train_mean_reward,Train/mean_reward,267.0,79.9325942993164,81.16234235864918
train_mean_reward,Train/mean_reward,268.0,80.58216857910156,81.04630760273966
train_mean_reward,Train/mean_reward,269.0,80.58216857910156,80.95347979801204
train_mean_reward,Train/mean_reward,270.0,80.58216857910156,80.87921755422994
train_mean_reward,Train/mean_reward,271.0,80.58216857910156,80.81980775920427
train_mean_reward,Train/mean_reward,272.0,80.58216857910156,80.77227992318372
train_mean_reward,Train/mean_reward,273.0,80.57258605957031,80.73234115046104
train_mean_reward,Train/mean_reward,274.0,80.79484558105469,80.74484203657977
train_mean_reward,Train/mean_reward,275.0,80.79484558105469,80.75484274547475
train_mean_reward,Train/mean_reward,276.0,80.79484558105469,80.76284331259075
train_mean_reward,Train/mean_reward,277.0,83.27273559570312,81.26482176921321
train_mean_reward,Train/mean_reward,278.0,83.27273559570312,81.66640453451119
train_mean_reward,Train/mean_reward,279.0,84.79117584228516,82.29135879606598
train_mean_reward,Train/mean_reward,280.0,84.79117584228516,82.79132220530981
train_mean_reward,Train/mean_reward,281.0,84.79117584228516,83.19129293270487
train_mean_reward,Train/mean_reward,282.0,85.9322509765625,83.7394845414764
train_mean_reward,Train/mean_reward,283.0,85.90956115722656,84.17349986462644
train_mean_reward,Train/mean_reward,284.0,85.93199920654297,84.52519973300974
train_mean_reward,Train/mean_reward,285.0,86.08869934082031,84.83789965457186
train_mean_reward,Train/mean_reward,286.0,86.09086608886719,85.08849294143093
train_mean_reward,Train/mean_reward,287.0,86.08745574951172,85.28828550304709
train_mean_reward,Train/mean_reward,288.0,86.09968566894531,85.45056553622673
train_mean_reward,Train/mean_reward,289.0,86.16361999511719,85.59317642800482
train_mean_reward,Train/mean_reward,290.0,85.44409942626953,85.56336102765776
train_mean_reward,Train/mean_reward,291.0,85.51142883300781,85.55297458872776
train_mean_reward,Train/mean_reward,292.0,85.51142883300781,85.54466543758377
train_mean_reward,Train/mean_reward,293.0,85.92424774169922,85.62058189840687
train_mean_reward,Train/mean_reward,294.0,85.92424774169922,85.68131506706534
train_mean_reward,Train/mean_reward,295.0,86.3644790649414,85.81794786664055
train_mean_reward,Train/mean_reward,296.0,86.3644790649414,85.92725410630072
train_mean_reward,Train/mean_reward,297.0,87.01400756835938,86.14460479871245
train_mean_reward,Train/mean_reward,298.0,87.01400756835938,86.31848535264184
train_mean_reward,Train/mean_reward,299.0,87.35582733154297,86.52595374842207
train_mean_reward,Train/mean_reward,300.0,88.95602416992188,87.01196783272202
train_mean_reward,Train/mean_reward,301.0,88.95602416992188,87.40077910016198
train_mean_reward,Train/mean_reward,302.0,90.26918029785156,87.9744593396999
train_mean_reward,Train/mean_reward,303.0,90.26918029785156,88.43340353133024
train_mean_reward,Train/mean_reward,304.0,90.26918029785156,88.80055888463451
train_mean_reward,Train/mean_reward,305.0,90.26918029785156,89.09428316727792
train_mean_reward,Train/mean_reward,306.0,90.26918029785156,89.32926259339266
train_mean_reward,Train/mean_reward,307.0,90.26918029785156,89.51724613428445
train_mean_reward,Train/mean_reward,308.0,90.26918029785156,89.66763296699787
train_mean_reward,Train/mean_reward,309.0,90.76677703857422,89.88746178131314
train_mean_reward,Train/mean_reward,310.0,90.76677703857422,90.06332483276535
train_mean_reward,Train/mean_reward,311.0,90.76677703857422,90.20401527392713
train_mean_reward,Train/mean_reward,312.0,90.76677703857422,90.31656762685654
train_mean_reward,Train/mean_reward,313.0,90.76677703857422,90.40660950920008
train_mean_reward,Train/mean_reward,314.0,90.76677703857422,90.47864301507491
train_mean_reward,Train/mean_reward,315.0,90.76677703857422,90.53626981977477
train_mean_reward,Train/mean_reward,316.0,90.76677703857422,90.58237126353467
train_mean_reward,Train/mean_reward,317.0,90.76677703857422,90.61925241854257
train_mean_reward,Train/mean_reward,318.0,90.76677703857422,90.6487573425489
train_mean_reward,Train/mean_reward,319.0,90.76677703857422,90.67236128175396
train_mean_reward,Train/mean_reward,320.0,90.76677703857422,90.69124443311802
train_mean_reward,Train/mean_reward,321.0,90.76677703857422,90.70635095420926
train_mean_reward,Train/mean_reward,322.0,90.76677703857422,90.71843617108225
train_mean_reward,Train/mean_reward,323.0,90.76677703857422,90.72810434458064
train_mean_reward,Train/mean_reward,324.0,90.76677703857422,90.73583888337936
train_mean_reward,Train/mean_reward,325.0,90.76677703857422,90.74202651441833
train_mean_reward,Train/mean_reward,326.0,90.76677703857422,90.74697661924951
train_mean_reward,Train/mean_reward,327.0,90.76677703857422,90.75093670311445
train_mean_reward,Train/mean_reward,328.0,90.76677703857422,90.7541047702064
train_mean_reward,Train/mean_reward,329.0,89.91044616699219,90.58537304956354
train_mean_reward,Train/mean_reward,330.0,89.91044616699219,90.45038767304928
train_mean_reward,Train/mean_reward,331.0,89.91044616699219,90.34239937183787
